Entry,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
Entry 115,"M. Véliz con J. M. Véliz, J. Charco, H. Sains, J. Lopez y R. Esteban",M. Véliz,J. M. Véliz|J. Charco|H. Sains|J. Lopez|R. Esteban,MV 16199,22/XI/2005,2005-11-22,,Lophosoria quadripinnata (J.F. Gmel)C. Chr. var quadripinnata,Lophosoria quadripinnata (J.F. Gmel)C. Chr. var quadripinnata,M. Véliz,24/XI/2005,Quercus sp,GUATEMALA,Jalapa,,Aldea San Raymundo,río Manzanillos,río Manzanillos,"Helecho muy frecuente, con frondes compuestos, glaucos en el envés; creciendo dentro de bosque de Quercus sp",2308 msnm,14° 33' 43.7 N; 90° 06' 19.7 O,2298970|C0359489F,Typed,no type status
Entry 116,"PLANTS COLLECTED BY CHAS. F. MILLSPAUGH, M.D., DURING THE WEST-INDIAN CRUISE OF THE AUXILIARY S. YACHT ""UTOWANA"" ALLISON V. ARMOUR, ESQ., OWNER AND MASTER",C. F. Millspaugh,,893,JAN. 28-FEB. 6,1899-01-28,1899-02-06,Asplenium dentatum L.,Asplenium dentatum L.,,,,JAMAICA,,,PORT ANTONIO,PORT ANTONIO,PORT ANTONIO,,,,,Typed,no type status
Entry 117,T. G. YUNCKER,T. G. Yuncker,,"17,429","Nov. 17, 1957",1957-11-17,,Lycopodium cernuum L.,Lycopodium cernuum L.,,,,Jamaica,St. Andrew,,,"Scrambling over side of cut, along trail near Bellevue. Alt. 3000-4000 ft.","Scrambling over side of cut, along trail near Bellevue. Alt. 3000-4000 feet",,3000-4000 ft.,,,Typed,no type status
Entry 118,Carvalho,Carvalho,,2092,25-VII-1986,1986-07-25,,Lycopodiella cernua (L.) Pic.-Serm.,Lycopodiella cernua (L.) Pic.-Serm.,J. Fernández Casas,1991,,Equatorial Guinea,BIOCO,,Malabo,"Malabo - Basilé, km 13, cerca de Basilé, 32NMK7808, 390 m, márgenes de la carretera","Malabo - Basilé, km 13, cerca de Basilé, márgenes de la carretera",Postrada. Forma pequeñas colonias dispersas,390 m,32NMK7808,2201362|C0363985F,Typed,no type status
Entry 119,Henk van der Werff,Henk van der Werff,,11699,12 June 1990,1990-06-12,,Diplazium assimile (Endl.) Bedd.,Diplazium assimile (Endl.) Bedd.,Henk van der Werff,1991,,AUSTRALIA,QUEENSLAND,,,"Boonjee logging area, at base of Mt. Bartle Frere","Boonjee logging area, at base of Mt. Bartle Frere","Rainforest. Terrestrial fern, fronds 1 m tall. Rhizome erect. In sets of two",,145°43'E 17°25'S,C0363442F | 2094887,Typed,no type status
Entry 120,"M. Tagawa & K. Iwatsuki, No. 1150",M. Tagawa,K. Iwatsuki,1150,"July 28, 1956",1956-07-28,,Diplazium amabile (Tag.) Tag.,Diplazium amabile (Tag.) Tag.,,,,Japan,Kyushu,Kagoshima,Kanoya City,"western slope of Mt. Hoyoshi, south of Kanoya City","western slope of Mt. Hoyoshi, south of Kanoya City",Wet rocky slope in densely wooded ravine,,,1475055|C0378283F,Typed,no type status
Entry 121,W. Takeuchi & J. Wiakabu,W. Takeuchi,J. Wiakabu,9366,"February 5, 1994",1994-02-05,,Blechnum ledermanni Brause,Blechnum ledermanni Brause,,,,Papua New Guinea,New Ireland,,,New Ireland; Hans Meyer Range. Site 4 on the expedition report,New Ireland; Hans Meyer Range. Site 4 on the expedition report,Pristine subcloud forest dominated by bryophytic and ferny growth,c. 1800 m,4°25'S X 152°59'E,0FCZ0683-A|2158436,Typed,no type status
Entry 122,Coll: Tagawa & Iwatsuki,Tagawa,Iwatsuki,888,"May 20, 1956",1956-05-20,,Dryopteris crassirhizoma Nakai,Dryopteris crassirhizoma Nakai,,,,JAPAN,,,,,[precise locality unknown],,,,1478001|C0366013F,Typed,no type status
Entry 123,Coll. J. Ohwi,J. Ohwi,,NSM. No. 202,April 1951,1951-04-00,,Polystichum tripteron Presl,Polystichum tripteron Presl,,,,Japan,Honshu,Sagami,,Jimmuji in Sagami,Jimmuji in Sagami,,,,1464206,Typed,no type status
Entry 124,Father Morice Vanoverbergh,M. Vanoverbergh,,3591,April 19 13,1913-04-19,,Asplenium contiguum.Kaulf,Asplenium contiguum Kaulf,,,,Philippines,Luzon,Bontoc Subprovince,,Bontoc Subprovince. Luzon,Bontoc Subprovince. Luzon,,,,C0364207F,Typed,no type status
Entry 125,R.B. & A.J.Faden,R. B. Faden,A. J. Faden,77/53,5 Jan. 1977,1977-01-05,,Pyrossia lanceolata (L.) Farw.,Pyrossia lanceolata (L.) Farw.,D. B. Lellinger,1979,,Ceylon,North Western Province,Kurunegala District,,"Doluwakanda Hill, ca. 7°37'N, 80°24'30""E",Doluwakanda Hill,Forest. Locally common. Lithophyte. Rhizome creeping; fronds widely spaced,600 m,"ca. 7°37'N, 80°24'30""E",2014294,Typed,no type status
Entry 126,"By Albert N. Steward, C. Y. Chiao, and H. C. Cheo",Albert N. Steward,C. Y. Chiao|H. C. Cheo,344,"Sept. 4, 1931",1931-09-04,,Dryopteris Esquirolii Christ,Thelypteris esquirolii (Christ) Ching,,,,China,Kweichow,,,"Ta Ho Yen, FAN CHING SHAN","Ta Ho Yen, FAN CHING SHAN","moist brushy slope, Sori black",alt. 980 m,,779919|C0377881F,Typed,no type status
Entry 127,J. F. Barcelona,J. F. Barcelona,,48,November 19 89,1989-11-00,,Selaginella cf. repanda,Selaginella philippina Spring,Julie F. Barcelona,13 Sept. 2005,,Philippines,"W. Visayas, Panay I.",Antique,Sibalom,"Antique, Sibalom, Egaña, around",Egaña - on shaded & moist areas,in shaded & moist places along riverbank,,,PNH No. 190135|018274-1|2210265,Mix of Handwritten and Typed,DUPLICATE
Entry 128,Col. L. & A. Fay,L. Fay,A. Fay,1206,11 Apr 1985,1985-04-11,,FERN Drynaria laurentii (Christ.) Hieron.,Drynaria laurentii (Christ.) Hieron.,,,,LIBERIA,,,,"Cuttington University College. Alt. 250 m. On tree trunk about 10' from ground; common in groves of rubber trees, on trunks","Cuttington University College. Alt. 250 meters. On tree trunk about 10 feet from ground; common in groves of rubber trees, on trunks","On tree trunk about 10' from ground; common in groves of rubber trees, on trunks",Alt. 250 m,,N° 2111378,Typed,no type status
Entry 129,Coll. H. St. John,H. St. John,,16662,"Aug. 26, 1934",1934-08-26,,Humata banksii Alston,Humata banksii Alston,E.B. Copeland,,,RURUTU,Austral Islands,,,"Northwest slope of Teape, Teti woods, on mossy tree limb, altitude 350 meters","Northwest slope of Teape, Teti woods, on mossy tree limb, altitude 350 meters","Epiphyte. Fronds mostly pendent, coriaceous",altitude 350 meters,,1435764,Mix of Handwritten and Typed,no type status
Entry 130,T. G. YUNCKER,T. G. Yuncker,,"18,561","Mar. 30, 1958",1958-03-30,,Selaginella plana (Desv.) Hieron.,Selaginella plana (Desv.) Hieron.,,,,Jamaica,Portland,,,"On wet embankment along trail, rain forest, John Crow Mts., 1.5-2 miles southwest of Ecclesdown","On wet embankment along trail, rain forest, John Crow Mts., 1.5-2 miles southwest of Ecclesdown","wet embankment along trail, rain forest",Alt. 1500-2500 ft.,,1481969 | C0383576F,Typed,no type status
Entry 131,A. CARESTIA,A. Carestia,,s.n.,1871,1871-00-00,,LYCOPODIUM COMPLANATUM L.,Lycopodium complanatum L.,Joan H. Wilce,1962,Lycopodium chamae-cyparissus Br.,,,Valsesia,Scopello,Salita alla Boscarola presso Scopello in Valsesia,Salita alla Boscarola presso Scopello in Valsesia,,,,Erb. Critt. Ital. Ser. II 851|Erb. Critt. ital. I. 106,Typed,no type status
Entry 132,coll. G.J. Chamberlain,G. J. Chamberlain,,s.n.,"Oct. 15, 1911",1911-10-15,,Trichomanes reniforme,Trichomanes reniforme,,,,New Zealand,,,Ohakune,Ohakune,Ohakune,,,,1407795|C0358423F,Typed,no type status
Entry 133,"R. L. Wilbur no. 8185, E. L. Dunn, H. A. Hespenheide, D. R. Wiseman",R. L. Wilbur,E. L. Dunn|H. A. Hespenheide|D. R. Wiseman,8185,2 August 1964,1964-08-02,,Hemidaria grandifolia (Willd.),Cnemidaria grandifolia (Willd.) Proctor var. grandifolia,R. L. Wilbur,1966,,"DOMINICA, WEST INDIES",,Parish of St. Paul,,Disturbed rainforest in the upper Layou Valley about 5 miles from Clarke Hall towards Pont Cassé,Disturbed rainforest in the upper Layou Valley about 5 miles from Clarke Hall towards Pont Cassé,Common fern with trunk 2 dm. high. Fronds 2 m. long,,,1670026,Typed,no type status
Entry 134,R.B. & A.J.Faden,R. B. Faden,A. J. Faden,77/31,2 Jan 1977,1977-01-02,,= Thelypteris,Thelypteris,,,,Ceylon,Central Province,Nuwara Eliya District,,"between mile posts 46/3 and 46/4 on Nuwara Eliya-Kandy road, 6°59'N,80°45'E",between mile posts 46/3 and 46/4 on Nuwara Eliya-Kandy road,Shady moist bank near stream. Local and uncommon,ca 1980 m,"6°59'N,80°45'E",2089703|C0377971F,Typed,no type status
Entry 135,leg. HK.,H. K.,,68/641,5.VII.1968,1968-07-05,,Crucispora naucorioides HK. 1971 (Typus),Crucispora naucorioides HK. 1971,,,"Cyathea dealbata, C. smithii, Phyllocladus, Podocarpus",New Zealand,,,,"in Humus unter Cyathea dealbata, C. smithii, Phyllocladus, Podocarpus,etc.; Kauaeranga Valley, Coromandel Peninsula,N.Z.","in Humus unter Cyathea dealbata, C. smithii, Phyllocladus, Podocarpus,etc.; Kauaeranga Valley, Coromandel Peninsula","in Humus unter Cyathea dealbata, C. smithii, Phyllocladus, Podocarpus,etc.",,,1017207 | C0003693F,Typed,Typus
Entry 136,Coll. Singer,Singer,,B 7463,14 V 1973,1973-05-14,,HYGROCYBE DIMORPHOBASIDIATA Sing.,HYGROCYBE DIMORPHOBASIDIATA Sing.,,,,ECUADOR,Napo,,Lago Agrio,Lago Agrio,Lago Agrio,Ad terram in hylaea,,,1017827|C0004429F,Typed,TYPUS!
Entry 137,Coll. Singer M10517,Singer,,M10517,23 II 1988,1988-02-23,,HYGROCYBE FUEGIANA Sing. (= H. rosea sensu Horak),HYGROCYBE FUEGIANA Sing.,,,Sphagnum spec. and Rubus geoides,ARGENTINA,Tierra del Fuego,Departamento Ushuaia,,"road Ushuaya-Lago Fagnano, SW of highest point","road Ushuaya-Lago Fagnano, SW of highest point",Gregarious in bog margin with Sphagnum spec. and Rubus geoides,,,F1075922 | C0004430F,Typed,HOLOTYPE
Entry 138,"John J. Engel, Matt von Konrat & John E. Braggins",John J. Engel,Matt von Konrat | John E. Braggins,23773,12 February 2003,2003-02-12,,Telaranea lindenbergii var. papillata Engel & Merr.,Telaranea lindenbergii var. papillata Engel & Merr.,,,"Blechnum novae-zealandiae, Weinmannia, Dicksonia squarrosa, Leptospermum scoparium",New Zealand,North Island,Auckland Prov.,,"Whareorino Forest, start of track to Leitch's Hut, 280 m., 38° 24.5' S., 174° 49.8' E.","Whareorino Forest, start of track to Leitch's Hut, 280 meters","On clayey bank. Clay banks with Blechnum novae-zealandiae overhang, Weinmannia and Dicksonia squarrosa dominant canopy and occasional Leptospermum scoparium",280 m.,"38° 24.5' S., 174° 49.8' E.",1173554,Typed,Holotype
Entry 139,"Marko Lewis, no. 78-2684",Marko Lewis,,78-2684,21-22 November 1978,1978-11-21,1978-11-22,Kindbergia praelonga (Hedw.) Ochyra,Kindbergia praelonga (Hedw.) Ochyra,W. C. STEERE,,,Ecuador,Imbabura,,Cotacachi,"PROV. IMBABURA: E. side of Cerro Cotacachi, NW of Cotacachi, 0°22'N., 78°20'W.","E. side of Cerro Cotacachi, NW of Cotacachi",Wet bank of runoff ravine,3750 m,"0°22'N., 78°20'W.",1065158 | C2079898F,Typed,no type status
Entry 140,"Marko Lewis, no. 78-3163",Marko Lewis,,78-3163,8 December 1978,1978-12-08,,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata (Hedw.) P. Beauv.,W. C. Steere,,,Ecuador,Azuay,,Sayausí,"PROV. AZUAY: Area Nacional de Recreación ""Cajas"", forested hill S. of ""Surrochucho"" (Laguna Llaviuco), SW of Sayausí, 2°55'S., 79°09'W.","Area Nacional de Recreación ""Cajas"", forested hill S. of ""Surrochucho"" (Laguna Llaviuco), SW of Sayausí, 2°55'S., 79°09'W.",Stone wall,3240 m,"2°55'S., 79°09'W.",1065433|C2077559F,Typed,no type status
Entry 141,Leg. R.Benoist,R. Benoist,,4659 pp,,,,Hedwigia albicans (Web.)Lindb,Hedwigia ciliata (Hedw.) P. Beauv,Efrain De Luna,1997,,Equateur,,,,environs de Quito,environs de Quito,,,,1089453|C2077563F,Mix of Handwritten and Typed,no type status
Entry 142,Leg. R.Benoist,R. Benoist,,2279,27 mars 1930,1930-03-27,,Hedwigia albicans (Web.)Lindb.,Hedwigia ciliata (Hedw.) P. Beauv.,Efrain De Luna,1992,,Equateur,,,Quito,Sur rocher d'andésite,Sur rocher d'andésite,,,,1089455|C2077564F,Mix of Handwritten and Typed,no type status
Entry 143,"COLLECTED BY R. S. WILLIAMS, 1901-1902",R. S. Williams,,2850,"April 30, 1902",1902-04-30,,Hedwigia albicans (Web.) Lindb.,Hedwigia ciliata (Hedw.) P. Beauv.,Efrain De Luna,1992,,Bolivia,,,,"near Pelichuco, 3000 meters","near Pelichuco, 3000 meters",,3000 meters,,1089454|C2077565F,Typed,no type status
Entry 144,"Marko Lewis, no. 79-1237A",Marko Lewis,,79-1237A,22 March 1979,1979-03-22,,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata (Hedw.) P. Beauv.,Efrain De Luna,1992,,Bolivia,La Paz,Larecaja,Sorata,"Near large red outcrop 2 mi. from Sorata down Rio Consata, 15° 41' S., 68° 43' W.",Near large red outcrop 2 miles from Sorata down Rio Consata,"Bromeliad habitat. Abundant on rock faces of exposed cliffs, 2630 m",2630 m,"15° 41' S., 68° 43' W.",1032221|C2077566F,Typed,no type status
Entry 145,"Marko Lewis, no. 79-1232",Marko Lewis,,79-1232,22 March 1979,1979-03-22,,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata (Hedw.) P. Beauv.,Efrain De Luna,1992,,Bolivia,La Paz,Larecaja,Sorata,"DEPTO. LA PAZ, PROV. LARECAJA: Near large red outcrop 2 mi. from Sorata down Río Consata, 15° 41' S., 68° 43' W.",Near large red outcrop 2 miles from Sorata down Río Consata,Bromeliad-grass habitat on exposed cliffs,2630 m,"15° 41' S., 68° 43' W.",1032219|C2077567F,Typed,no type status
Entry 146,"Marko Lewis, no. 79-1114",Marko Lewis,,79-1114,6 March 1979,1979-03-06,,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata (Hedw.) P. Beauv.,Efrain De Luna,1992,,Bolivia,La Paz,Saavedra,,"DEPTO. LA PAZ, PROV. SAAVEDRA: On mountain side directly N. of river, beneath Niño Karine, NNW of Chuma, 15° 08' S, 69° 03' W","On mountain side directly N. of river, beneath Niño Karine, NNW of Chuma",Humid cliffs and steep slopes,3320 m,"15° 08' S, 69° 03' W",C2077568F|1032220,Typed,no type status
Entry 147,F. J. Hermann,F. J. Hermann,,25152,"December 27, 1972",1972-12-27,,Hedwigia ciliata (Hedw.) Beauv.,Hedwigia ciliata (Hedw.) P. Beauv.,Efrain De Luna,1992,,Bolivia,Cochabamba,,Cochabamba,"On conglomerate boulder on shrubby NW slope of Mt. Tunari, near Liriuni Aguas Termales Hotel, alt. ca. 2700 m., 28 km. NW.","On conglomerate boulder on shrubby NW slope of Mt. Tunari, near Liriuni Aguas Termales Hotel, 28 kilometers NW",On conglomerate boulder on shrubby NW slope,alt. ca. 2700 m.,,C2077569F|1040675,Typed,no type status
Entry 148,"Ynes Mexia, No. 6204",Y. Mexia,,6204,"Dec. 2, 1931",1931-12-02,,Pilosium subchlorophyllosum C.M.,Pilosium subchlorophyllosum C.M.,Bartram,,,Peru,Loreto,,,Above Pongo de Manseriche. Streamlet near mouth of Rio Santiago,Above Pongo de Manseriche. Streamlet near mouth of Rio Santiago,On fallen log,Alt. 400 m,,1057692|C2077570F,Typed,no type status
Entry 149,"Ynes Mexia, No. 6204",Y. Mexia,,6204,"Dec. 2, 1931",1931-12-02,,Pilosium sub-lorophyllum C.M. det. Bartram,Pilosium sub-lorophyllum C.M.,Bartram,,,Peru,Loreto,,,Above Pongo de Manseriche. Alt. 400 m. Streamlet near mouth of Rio Santiago. On fallen log,Above Pongo de Manseriche. Streamlet near mouth of Rio Santiago. On fallen log,On fallen log,Alt. 400 m,,C2077571F,Typed,no type status
Entry 150,"A. C. SMITH, NO. 2748",A. C. Smith,,2748,"Dec. 15-24, 1937",1937-12-15,1937-12-24,Pilosium flaccisetum C.M.,Pilosium flaccisetum C.M.,E. B. Bartram,,,British Guiana,,,,"Basin of Essequibo River, near mouth of Onoro Creek, lat. about 1°35' N.; dense forest","Basin of Essequibo River, near mouth of Onoro Creek, lat. about 1°35' N.; dense forest","On decayed wood, in swamp",,lat. about 1°35' N.,1023751|C2077572F,Typed,no type status
Entry 151,J.Florschütz-de Waard & R.Zielman,J. Florschütz-de Waard,R. Zielman,5315,5 - 11 - 1981,1981-11-05,,Pilosium chlorophyllum (Hornsch.)C.Müll.,Pilosium chlorophyllum (Hornsch.)C.Müll.,Rudi Zielman,5 - 11 - 1981,Cecropia (bospapaja),Surinam,Nickerie,,,"area of Kabalebo Dam project, distr. Nickerie, line NW from road km 39.5, p. 5N 58W qu.SE","area of Kabalebo Dam project, distr. Nickerie, line NW from road km 39.5, p. 5N 58W qu.SE",Secondary wood with Cecropia (bospapaja) on rotting log,0-50 m,5N 58W qu.SE,1073523|1010101|C2077573F,Mix of Handwritten and Typed,no type status
Entry 152,J.Florschütz-de Waard & R.Zielman,J. Florschütz-de Waard,R. Zielman,5254,3-11-1981,1981-11-03,,Pilosium chlorophyllum(Hornsch.)C.Müll.,Pilosium chlorophyllum(Hornsch.)C.Müll.,R. Zielman,,,Surinam,Nickerie,,,"Area of Kabalebo Dam project, distr. Nickerie, line NW from road km 39.5, p. 5N 56W qu. SE","Area of Kabalebo Dam project, distr. Nickerie, line NW from road km 39.5, p. 5N 56W qu. SE","Savanna forest, on rotting log",0 - 50 m,,1073529|100107|C2077574F,Mix of Handwritten and Typed,no type status
Entry 153,J.Florschütz-de Waard & R.Zielman,J. Florschütz-de Waard,R. Zielman,5098,30-10-1981,1981-10-30,,Pilosium chlorophyllum(Hornsch.)C.Müll.,Pilosium chlorophyllum(Hornsch.)C.Müll.,R. Zielman,,,Surinam,Nickerie,,,"Area of Kabalebo Dam project, distr. Nickerie, line W from road 34 km, p. 5N 58W qu. SE","Area of Kabalebo Dam project, distr. Nickerie, line W from road 34 km, p. 5N 58W qu. SE","Rainforest, on rotting log",0 - 50 m,,1073528|1040106,Typed,no type status
Entry 154,"J.C.Lindeman, A.R.A.Görts-van Rijn, M.J.Jansen-Jacobs & A.M.C.Hetterscheid-Hollants",J. C. Lindeman,A. R. A. Görts-van Rijn|M. J. Jansen-Jacobs|A. M. C. Hetterscheid-Hollants,243 A,3-IX-1980,1980-09-03,,Pilosium chlorophyllum (Hornsch.) C.Müll.,Pilosium chlorophyllum (Hornsch.) C.Müll.,H. R. Zielman,,,Surinam,Nickerie,,,"Area of Kabalebo Dam project, distr.Nickerie, 4° 5° NB, 57° 30' 58° WL. Forest S of km 28.7","Area of Kabalebo Dam project, distr.Nickerie, Forest S of km 28.7",Epiphyte on tree trunk,30 - 130 m,"4° 5° NB, 57° 30' 58° WL",1073527|C2077576F,Typed,no type status
Entry 155,J. Florschütz-de Waard and R. Zielman,J. Florschütz-de Waard,R. Zielman,5141,31 October 1981,1981-10-31,,PILOSIUM CHLOROPHYLLUM (Hornsch.) C. Müll.,PILOSIUM CHLOROPHYLLUM (Hornsch.) C. Müll.,R. Zielman,,Astrocaryum,SURINAME,Nickerie,Kabalebo river area,,"Distr. Nickerie, Kabalebo river area, line W, from road km 34, 5°N., 58°W., alt. 0-50 m","Distr. Nickerie, Kabalebo river area, line W, from road kilometers 34, 5°N., 58°W., alt. 0-50 meters",On decaying log in marsh forest with Astrocaryum,alt. 0-50 m,"5°N., 58°W.",1029882|A 1555539|C2077577F,Typed,no type status
Entry 156,J. and P.A. Florschütz 4690,J. Florschütz,P.A. Florschütz,4690,18 December 1975,1975-12-18,,PILOSIUM CHLOROPHYLLUM (Hornsch.) C. Muell.,PILOSIUM CHLOROPHYLLUM (Hornsch.) C. Muell.,R. Zielman and J. Florschütz-de Waard,,,SURINAME,,,,"Brownsberg, trail to Leo Val, alt. ca. 500 m","Brownsberg, trail to Leo Val, altitude approximately 500 meters",On rotting log in rainforest,alt. ca. 500 m,,№ 1065613|C2077578F,Typed,no type status
Entry 157,H.Cornelissen & S.R.Gradstein C076,H. Cornelissen,S. R. Gradstein,C076,8 March 1977,1977-03-08,,Pilosium chlorophyllum (Hornsch.) C. Müll.,Pilosium chlorophyllum (Hornsch.) C. Müll.,J. Florschütz-de Waard,,,GUYANA,,,,"Mabura Hill, 180 km S of Georgetown, 5°20'N 58°40'W, alt. 0-50 m","Mabura Hill, 180 kilometers S of Georgetown",On rotting tree base in mixed rain forest,alt. 0-50 m,5°20'N 58°40'W,N° 1091586|C2077579F,Typed,no type status
Entry 158,Musci Amazonici et Andini ex coll. R. Spruce,R. Spruce,,1321,s.d.,0000-00-00,,Stereophyllum chlorophyllum. Hornsch.,Pilosium chlorophyllum (Hornsch.) C. Müll. in Broth.,R.R. Ireland and W.R. Buck,1992,,,,,Para,Fl. Amazon prope Para,Fl. Amazon prope Para,,,,1078188|C2077580F,Mix of Handwritten and Typed,no type status
Entry 159,Richard Evans Schultes et Isidoro Cabrera,R. E. Schultes,I. Cabrera,17922,"Oct. 22, 1952",1952-10-22,,Pilosium chlorophyllum (Hornsch.) Jaeg.,Pilosium chlorophyllum (Hornsch.) Jaeg.,H. A. Crum,1956,,Colombia,Vaupés,,Mitú,Río Vaupés: Mitú and vicinity. Cerro Mitú,Río Vaupés: Mitú and vicinity. Cerro Mitú,On rotten log,,"Lat. 1° 0' N, Long. 70° 5' W",1055492|C2077581F,Typed,no type status
Entry 160,Richard Evans Schultes et Isidoro Cabrera,Richard Evans Schultes,Isidoro Cabrera,14294,"October 4-6, 1951",1951-10-04,1951-10-06,Pilosium chlorophyllum (Hornsch.) C.M.,Pilosium chlorophyllum (Hornsch.) C.M.,H. A. Crum,1956,,Colombia,Vaupés,,,"Rio Kuduyari (affluent of Rio Vaupés), Yapobodá, quartzitic savannah","Rio Kuduyari (affluent of Rio Vaupés), Yapobodá, quartzitic savannah",On rotten logs,,,C2077582F|1055491,Typed,no type status
Entry 161,RICHARD EVANS SCHULTES,R. E. Schultes,,12309,June 1951,1951-06-00,,PILOSIUM CHLOROPHYLLUM (HORNSCH.) C.M. in BROTH.,PILOSIUM CHLOROPHYLLUM (HORNSCH.) C.M. in BROTH.,D. Griffin III,,,Colombia,Vaupés,,,"Comisaría del Vaupés, Rio Apaporis. Soratama","Comisaría del Vaupés, Rio Apaporis. Soratama",On trunks,,,1055490|C2077583F,Typed,no type status
Entry 162,Leg. RICHARD EVANS SCHULTES,R. E. Schultes,,11128,Dec. 1950,1950-12-00,,Pilosium chlorophyllum (Hornsch.) C. M. in Broth.,Pilosium chlorophyllum (Hornsch.) C. M. in Broth.,D. Griffin III,,,Colombia,,,San Jose del Guaviare,San Jose del Guaviare,San Jose del Guaviare,,,,1055459|C2077584F,Mix of Handwritten and Typed,no type status
Entry 163,"Ynes Mexia, No. 6014a",Y. Mexia,,6014a,"Aug. 31, 1931",1931-08-31,,Pilosum chlorophyllum (Hornsch.) C.M.,Pilosum chlorophyllum (Hornsch.) C.M.,Bartram,,,Brazil,Pará,Districto Acará,Thomé Assú,Thomé Assú; down Rio Acará 3 km,Thomé Assú; down Rio Acará 3 km,On fallen log,Alt. 35 m,,C2077585F,Mix of Handwritten and Typed,no type status
Entry 164,"Ynes Mexia, No. 5914",Y. Mexia,,5914,"July 16, 1931",1931-07-16,,Pilosium Chlorophyllosum (Hsch.) C.M.,Pilosium Chlorophyllosum (Hsch.) C.M.,Bartram,,,Brazil,Pará,Districto Acará,Thomé Assú,"Thomé Assú, Japanese Colony","Thomé Assú, Japanese Colony",On rotting log in woods. Abundant,Alt. about 30 m,,870829|C2077586F,Typed,no type status
Entry 165,,,,,,,,,,,,,,,,,,,,,,,,
Entry 166,P. Dusén 5872,P. Dusén,,5872,22 February 1897,1897-02-22,,Brachythecium albicans (Hedw.) Schimp.,Brachythecium albicans (Hedw.) Schimp.,W. R. Buck,,,Chile,Patagonia occident.,Cerra Colorado,,"Chile, Patagonia occident., Cerra Colorado","Chile, Patagonia occident., Cerra Colorado",,,,No. 1136354|S reg. nr B11749|C2078913F,Typed,no type status
Entry 167,"Ynes Mexia, No. 8001",Y. Mexia,,8001,"April 10,1936",1936-04-10,,Brachythecium subpilosum (H.f.& W.)Jaeg.,Brachythecium austro-glareosum (C. Muell.) Kindb.,Kenneth D. McFarland,Sept 1987,,Chile,Territorio Magellanes,,,Last Hope Inlet; Peninsula Antonio Varas; openings in Nothofagus wood in moist earth,Last Hope Inlet; Peninsula Antonio Varas; openings in Nothofagus wood in moist earth,Common; scattered in small tufts,Alt. 25 m,,1036758|C2078924F,Typed,no type status
Entry 168,"Marko Lewis, no.79-2108",Marko Lewis,,79-2108,25 May 1979,1979-05-25,,Brachythecium calliergonoides Broth. in Herz.,Brachythecium calliergonoides Broth. in Herz.,R. Ochyra,1982,,Bolivia,Oruro,Sajama,,"DEPTO. ORURO, PROV. SAJAMA: Río Junthuma Khuchu, 2 mi. down river from Aguas termales de Río Junthuma Khuchu, 4350 m., 18° 07' S., 69° 00' W. In warmish creek","Río Junthuma Khuchu, 2 miles down river from Aguas termales de Río Junthuma Khuchu, In warmish creek",In warmish creek,4350 m.,"18° 07' S., 69° 00' W.",C2078925F | 1049405,Mix of Handwritten and Typed,no type status
Entry 169,"Marko Lewis, no.79-2109",Marko Lewis,,79-2109,25 May 1979,1979-05-25,,Brachythecium calliergonoides Broth. in Herz.,Brachythecium calliergonoides Broth. in Herz.,R. Ochyra,1982,,Bolivia,Oruro,Sajama,,"DEPTO. ORURO, PROV. SAJAMA: Río Junthuma Khuchu, 2 mi. down river from Aguas termales de Río Junthuma Khuchu, 4350 m., 18° 07' S., 69° 00' W. In warmish creek","Río Junthuma Khuchu, 2 miles down river from Aguas termales de Río Junthuma Khuchu. In warmish creek",In warmish creek,4350 m.,"18° 07' S., 69° 00' W.",1049406|C2078926F,Typed,no type status
Entry 170,"Marko Lewis, no79-2112",Marko Lewis,,79-2112,25 May 1979,1979-05-25,,Brachythecium calliergonoides Broth. in Herz.,Brachythecium calliergonoides Broth. in Herz.,R. Ochyra,1982,,Bolivia,Oruro,Sajama,,"DEPTO. ORURO, PROV. SAJAMA: Río Junthuma Khuchu, 2 mi. down river from Aguas termales de Río Junthuma Khuchu, 4350 m., 18° 07' S., 69° 00' W. In warmish creek","Río Junthuma Khuchu, 2 miles down river from Aguas termales de Río Junthuma Khuchu, In warmish creek",In warmish creek,4350 m.,"18° 07' S., 69° 00' W.",N° 1049407|C2078927F,Typed,no type status
