Entry,Image,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus,"I'm unable to transcribe the collector's name from the image. However, I can provide the rest of the transcription based on the visible information","I'm unable to transcribe the entire label as it is in an image format. However, I can provide a transcription based on the visible text"
Entry 120,0120_C0378283F_collage.png,M. Tagawa & K. Iwatsuki,M. Tagawa,K. Iwatsuki,1150,"July 28, 1956",1956-07-28,N/A,Diplazium amabile (Tag.) Tag.,Diplazium amabile,N/A,N/A,N/A,Japan,Kagoshima,N/A,N/A,"Loc. Kyushu. Pref. Kagoshima: western slope of Mt. Hoyoshi, south of Kanoya City.","Western slope of Mount Hoyoshi, south of Kanoya City",Wet rocky slope in densely wooded ravine,N/A,N/A,N/A,Typed,no type status,,
Entry 121,0121_C0364726F_collage.png,W. Takeuchi & J. Wiakabu,W. Takeuchi,J. Wiakabu,9366,"February 5, 1994",1994-02-05,N/A,Blechnum ledermannii Brause,Blechnum ledermannii,N/A,N/A,N/A,Papua New Guinea,New Ireland,N/A,N/A,Hans Meyer Range Site 4 on the expedition report,Hans Meyer Range Site 4 on the expedition report,Pristine subcloud forest dominated by bryophytic and fern growth,c. 1800 m,4°25' S X 152°59' E,OFCZ0683-A,Typed,no type status,,
Entry 122,0122_C0366013F_collage.png,Tagawa & Iwatsuki,M. Tagawa,K. Iwatsuki,888,"May 20, 1956",1956-05-20,N/A,Dryopteris crassirhizoma Nakai,Dryopteris crassirhizoma,N/A,N/A,N/A,Japan,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,Typed,no type status,,
Entry 123,0123_C0366453F_collage.png,Coll. J. Ohwi,J. Ohwi,N/A,s.n.,April 1951,1951-04-00,N/A,Polystichum tripteron Presl,Polystichum tripteron,N/A,N/A,N/A,Japan,Honshu,N/A,N/A,Jizmuji in Sagami,Jizmuji in Sagami,N/A,N/A,N/A,NSM. No. 202,Typed,no type status,,
Entry 124,0124_C0364207F_collage.png,,,,,,,,,,,,,,,,,,,,,,,,,,
Entry 125,0125_C0376117F_collage.png,R.B. & A.J. Faden,R. B. Faden,A. J. Faden,77/53,5 Jan. 1977,1977-01-05,N/A,Pyrossia lanceolata (L.) Farw.,Pyrossia lanceolata,D. B. Lellinger,1979,N/A,Sri Lanka,North Western Province,Kurunegala,N/A,Doluwa kanda Hill,Doluwa kanda Hill,Forest. Locally common.,Alt. 600 m,"7°37'N, 80°24'30""E",N/A,Typed,no type status,,
Entry 126,0126_C0377881F_collage.png,By Albert N. Steward C. Y. Chiao and H. C. Cheo,A. N. Steward,C. Y. Chiao | H. C. Cheo,344,Sept. 4 1931,1931-09-04,N/A,Dryopteris bosquieri Christ,Dryopteris bosquieri,N/A,N/A,N/A,China,Guizhou,N/A,N/A,Ta Ho Yen Fan Ching Shan,Ta Ho Yen Fan Ching Shan,Moist brushy slope soil black,alt. 980 m,N/A,N/A,Typed,no type status,,
Entry 127,0127_C0382365F_collage.png,Julie F. Barcelona,J. F. Barcelona,N/A,48,Nov. 1989,1989-11-00,N/A,Selaginella cf. repanda,Selaginella philippina,J. F. Barcelona,Nov. 1989,N/A,Philippines,Antique,N/A,Sibalom,W. Visayas Panay I. Antique Prov. Sibalom,[precise locality unknown],Egata on shaded and moist areas,N/A,N/A,190235 | 190135,Mix of Handwritten and Typed,no type status,,
Entry 128,0128_C0368029F_collage.png,Col. L. & A. Fay,L. Fay,A. Fay,1206,11 Apr 1985,1985-04-11,N/A,Drynaria laurentii (Christ.) Hieron.,Drynaria laurentii,N/A,N/A,N/A,Liberia,N/A,N/A,N/A,Cuttington University College,Cuttington University College,On tree trunk about 10 feet from ground common in groves of rubber trees on trunks,Alt. 250 m.,N/A,N/A,Typed,no type status,,
Entry 129,0129_C0356535F_collage.png,Coll. H. St. John,H. St. John,N/A,16662,"Aug. 26, 1934",1934-08-26,N/A,Humata banksii Alston,Humata banksii,E. B. Copeland,N/A,N/A,France,French Polynesia,N/A,N/A,Northwest slope of Teape Teti woods,Northwest slope of Teape,on mossy tree limb,350 meters,N/A,N/A,Typed,no type status,,
Entry 130,0130_C0383576F_collage.png,T. G. Yuncker,T. G. Yuncker,N/A,18561,"Mar. 30, 1958",1958-03-30,N/A,Selaginella plana (Diev.) Hieron.,Selaginella plana,N/A,N/A,N/A,Jamaica,Portland,N/A,N/A,"On wet embankment along trail, rain forest, John Crow Mts., 1.5-2 miles southwest of Ecclesdown","John Crow Mountains, 1.5 to 2 miles southwest of Ecclesdown","On wet embankment along trail, rain forest",Alt. 1500-2500 ft.,N/A,N/A,Typed,no type status,,
Entry 131,0131_C0383180F_collage.png,A. Carestia,A. Carestia,N/A,851,1871,1871-00-00,N/A,Lycopodium complanatum L.,Lycopodium complanatum,J. H. Wilce,1962,Lycopodium chamaecyparissus,Italy,Piedmont,Valsesia,Scopello,Salita alla Boscarola presso Scopello in Valsesia,Salita alla Boscarola presso Scopello,N/A,N/A,N/A,N/A,Typed,no type status,,
Entry 132,0132_C0358423F_collage.png,coll. C. J. Chamberlain,C. J. Chamberlain,N/A,s.n.,"Oct. 15, 1911",1911-10-15,N/A,Trichomanes reniforme,Trichomanes reniforme,N/A,N/A,N/A,New Zealand,N/A,N/A,Ohakune,Ohakune,[precise locality unknown],N/A,N/A,N/A,N/A,Typed,no type status,,
Entry 133,0133_C0662992F_collage.png,R. L. Wilbur no. 8185 E. L. Dunn H. A. Hespenheide D. R. Wiseman,R. L. Wilbur,E. L. Dunn | H. A. Hespenheide | D. R. Wiseman,8185,2 August 1964,1964-08-02,N/A,Cnemidaria grandifolia (Willd.) Proctor var. grandifolia,Cnemidaria grandifolia,R. G. Stolze,1971,N/A,Dominica,Saint Paul,N/A,N/A,Disturbed rainforest in the upper Layou Valley about 5 miles from Clarke Hall towards Pont Cassé,Upper Layou Valley about 5 miles from Clarke Hall towards Pont Cassé,Disturbed rainforest,N/A,N/A,N/A,Typed,no type status,,
Entry 134,0134_C0377971F_collage.png,R.B. & A.J. Faden,R. B. Faden,A. J. Faden,77/31,2 Jan 1977,1977-01-02,N/A,Thelypteris,Thelypteris,N/A,N/A,N/A,Sri Lanka,Central,Nuwara Eliya,N/A,between mile posts 46/3 and 46/4 on Nuwara Eliya-Kandy road,between mile posts 46/3 and 46/4 on Nuwara Eliya-Kandy road,Shady moist bank near stream Local and uncommon,ca 1980 m,6 59'N 80 45'E,N/A,Typed,no type status,,
Entry 135,0143_C0003693F_collage.png,leg. H.K.,H. K.,N/A,s.n.,5.VII.1968,1968-07-05,N/A,Crucispora naucorioides HK. 1971 (Typus),Crucispora naucorioides,H. K.,1971,Cyathea dealbata | C. smithii | Phyllocladus | Podocarpus,New Zealand,N/A,N/A,N/A,Kauaeranga Valley Coromandel Peninsula N.Z.,Kauaeranga Valley Coromandel Peninsula,In humus unter Cyathea dealbata C. smithii Phyllocladus Podocarpus etc.,N/A,N/A,1017207,Typed,Typus,,
Entry 136,0144_C0004429F_collage.png,Singer,R. Singer,N/A,B 7463,14 V 1973,1973-05-14,N/A,Hygrocybe dimorphobasiditata Sing.,Hygrocybe dimorphobasiditata,R. Singer,N/A,N/A,Ecuador,Napo,N/A,Lago Agrio,Ecuador Napo Lago Agrio,Lago Agrio,Ad terram in hylaea,N/A,N/A,C0004426F,Typed,Typus,,
Entry 137,0145_C0004430F_collage.png,Singer,R. Singer,N/A,M10517,23 II 1988,1988-02-23,N/A,Hygrocybe fuegiana Sing. (= H. rosea sensu Horak),Hygrocybe fuegiana,N/A,N/A,Sphagnum | Rubus geoides,Argentina,Tierra del Fuego,Ushuaia,N/A,ya. road Ushuaia-Lago Fagnano SW of highest point,road Ushuaia-Lago Fagnano southwest of highest point,Gregarious in bog margin,N/A,N/A,1075922,Typed,Holotype,,
Entry 138,0178_C0000578F_collage.png,"John J. Engel, Matt von Konrat & John E. Braggins",J. J. Engel,M. von Konrat | J. E. Braggins,23773,12 February 2003,2003-02-12,N/A,Telaranea lindenbergii var. papillata Engel & Merr.,Telaranea lindenbergii,N/A,N/A,Blechnum novae-zelandiae | Weinmannia | Dicksonia squarrosa | Leptospermum scoparium,New Zealand,Auckland,N/A,N/A,"NORTH ISLAND. AUCKLAND PROV. Whareorino Forest, start of track to Leitch's Hut","Whareorino Forest, start of track to Leitch's Hut","On clayey bank. Clay banks with Blechnum novae-zelandiae overhang, Weinmannia and Dicksonia squarrosa dominant canopy and occasional Leptospermum scoparium",280 m,"38° 24.5' S, 174° 49.8' E",1173554,Typed,Holotype,,
Entry 139,0179_C2079898F_collage.png,Marko Lewis,M. Lewis,N/A,78-2684,21-22 November 1978,1978-11-21,1978-11-22,Kindbergia praelonga (Hedw.) Ochyra,Kindbergia praelonga,W. C. Steere,N/A,N/A,Ecuador,Imbabura,N/A,N/A,E. side of Cerro Cotacachi NW of Cotacachi 0°22'N 78°20'W,East side of Cerro Cotacachi northwest of Cotacachi,Wet bank of runoff ravine,3750 m,0°22'N 78°20'W,N/A,Typed,no type status,,
Entry 140,0180_C2077559F_collage.png,Marko Lewis,M. Lewis,N/A,78-3163,8 December 1978,1978-12-08,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata,W. C. Steere,N/A,N/A,Ecuador,Azuay,N/A,N/A,"Area Nacional de Recreación ""Cajas"" forested hill S. of ""Surrochuco"" (Laguna Llaviuco) SW of Sayausi",Area Nacional de Recreación Cajas forested hill South of Surrochuco Laguna Llaviuco Southwest of Sayausi,Stone wall,3240 m,2°55'S 79°09'W,C0207559F,Typed,no type status,,
Entry 141,0181_C2077563F_collage.png,R. Benoist,R. Benoist,N/A,4659,N/A,0000-00-00,N/A,Hedwigia albicans (Web.) Lindb.,Hedwigia ciliata,E. De Luna | I. Thériot,1992 | N/A,N/A,Ecuador,N/A,N/A,N/A,environs de Quito,[precise locality unknown],N/A,N/A,N/A,1689453,Mix of Handwritten and Typed,no type status,,
Entry 142,0182_C2077564F_collage.png,Lég. R. Benoist,R. Benoist,N/A,2219,27 mars 1930,1930-03-27,N/A,Hedwigia albicans (Web.) Lindb.,Hedwigia ciliata,E. De Luna | L. Thériot,1992 | N/A,N/A,Ecuador,N/A,N/A,Quito,Sur rocher d'andésite. Quito.,Sur rocher d'andésite,N/A,N/A,N/A,1039455 | C2077564F,Typed,N/A,,
Entry 143,0183_C2077565F_collage.png,R. S. Williams,R. S. Williams,N/A,2850,April 30 1902,1902-04-30,N/A,Hedwigia albicans (W. J. Sm.) Mitt.,Hedwigia ciliata,E. De-Luna,1992,N/A,Bolivia,N/A,N/A,N/A,near Pelechuco,near Pelechuco,N/A,3500 meters,N/A,1039454,Mix of Handwritten and Typed,no type status,,
Entry 144,0184_C2077566F_collage.png,Marko Lewis,M. Lewis,N/A,79-1237A,22 March 1979,1979-03-22,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata,E. De Luna,1992,N/A,Bolivia,La Paz,Larecaja,N/A,Near large red outcrop 2 mi. from Sorata down Rio Consata,Near large red outcrop 2 miles from Sorata down Rio Consata,Bromeliad habitat. Abundant on rock faces of exposed cliffs,2630 m.,15° 41' S. 68° 43' W.,C2077566F,Typed,no type status,,
Entry 145,0185_C2077567F_collage.png,Marko Lewis,M. Lewis,N/A,79-1232,22 March 1979,1979-03-22,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata,E. De Luna,1992,N/A,Bolivia,La Paz,Larecaja,N/A,Near large red outcrop 2 mi. from Sorata down Rio Consata,Near large red outcrop 2 miles from Sorata down Rio Consata,Bromeliad-grass habitat on exposed cliffs,2630 m.,15° 41' S. 68° 43' W.,C2077567F,Typed,no type status,,
Entry 146,0186_C2077568F_collage.png,Marko Lewis,M. Lewis,N/A,79-1114,6 March 1979,1979-03-06,N/A,Hedwigia ciliata (Hedw.) P. Beauv.,Hedwigia ciliata,E. De Luna,1992,N/A,Bolivia,La Paz,Saavedra,N/A,"On mountain side directly N. of river, beneath Niño Karine, NNW of Chuma","On mountain side directly north of river, beneath Niño Karine, north-northwest of Chuma",Humid cliffs and steep slopes,3320 m,"15° 08' S., 69° 03' W",C2077568F,Typed,no type status,,
Entry 147,0187_C2077569F_collage.png,F. J. Hermann,F. J. Hermann,N/A,25152,"December 27, 1972",1972-12-27,N/A,Hedwigia ciliata (Hedw.) Beauv.,Hedwigia ciliata,E. De Luna,1992,N/A,Bolivia,Cochabamba,N/A,Cochabamba,"On conglomerate boulder on shrubby NW slope of Mt. Tunari, near Liriuni Aguas Termales Hotel, alt. ca. 2700 m., 23 km. NW.","On conglomerate boulder on shrubby northwest slope of Mount Tunari, near Liriuni Aguas Termales Hotel, 23 kilometers northwest",On conglomerate boulder on shrubby northwest slope,alt. ca. 2700 m.,N/A,C0207759F,Typed,no type status,,
Entry 148,0188_C2077570F_collage.png,Ynes Mexia,Y. Mexia,N/A,6204,"Dec. 2, 1931",1931-12-02,N/A,Pilotrichum subchlorophyllosum C. M.,Pilotrichum subchlorophyllosum,J. Bartram,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche,Above Pongo de Manseriche,Streamlet near mouth of Rio Santiago. On fallen log.,Alt. 400 m.,N/A,1057692,Typed,no type status,,
Entry 149,0189_C2077571F_collage.png,Ynes Mexia,Y. Mexia,N/A,6204,"Dec. 2, 1931",1931-12-02,N/A,Pilosium subchlorophyllum,Pilosium subchlorophyllum,Bartram,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche,Above Pongo de Manseriche,Streamlet near mouth of Rio Santiago On fallen log,Alt. 400 m,N/A,C207571F,Typed,no type status,,
Entry 150,0190_C2077572F_collage.png,A. C. Smith,A. C. Smith,N/A,2748,"Dec. 15-24, 1937",1937-12-15,1937-12-24,Aplozia flaccida C. M.,Aplozia flaccida,E. B. Bartram,N/A,N/A,Guyana,N/A,N/A,N/A,"Basin of Essequibo River, near mouth of Onoro Creek, lat. about 1°35' N.","Basin of Essequibo River, near mouth of Onoro Creek","On decayed wood, in swamp. Dense forest.",N/A,lat. about 1°35' N.,102751,Typed,no type status,,
Entry 151,0191_C2077573F_collage.png,J. Florschütz-de Waard & R. Zielman,J. Florschütz-de Waard,R. Zielman,5315,5-11-1981,1981-11-05,N/A,Pilosiom chlorophyllum (Hornsch.) C. Müll. c.fr.,Pilosiom chlorophyllum,R. Zielman,N/A,Cecropia,Suriname,Nickerie,N/A,N/A,area of Kabalebo Dam project distr. Nickerie line NW from road km 39.5 p. 5N 58W qu.SE,area of Kabalebo Dam project line northwest from road kilometer 39.5 point,Secondary wood with Cecropia (bospapaja) on rotting log,ALT. 0-50 m,5N 58W,C0207735F,Typed,no type status,,
Entry 152,0192_C2077574F_collage.png,J. Florschütz-de Waard & R. Zijlman,J. Florschütz-de Waard,R. Zijlman,5254,3-11-1991,1991-11-03,N/A,Pilosium chlorophyllum (Hornsch.) C. Müll.,Pilosium chlorophyllum,R. Zijlman,N/A,N/A,Suriname,Nickerie,N/A,N/A,area of Kabalebo Dam project distr. Nickerie line NW from road km 39.5 p. 5N 59W qu. SE,area of Kabalebo Dam project line Northwest from road kilometer 39.5 post 5N 59W quarter Southeast,Savanna forest on rotting log,0 - 50 m.,N/A,C2077574F,Typed,no type status,,
Entry 153,0193_C2077575F_collage.png,J. Florschütz-de Waard & R. Zijlman,J. Florschütz-de Waard,R. Zijlman,5098,30-10-1981,1981-10-30,N/A,Pilosium chlorophyllum (Hornsch.) C. Müll.,Pilosium chlorophyllum,R. Zijlman,N/A,N/A,Suriname,Nickerie,N/A,N/A,area of Kabalebo Dam project distr. Nickerie line W from road 34 km p. 5N 58W qu. SE,area of Kabalebo Dam project line West from road 34 kilometers point 5N 58W quadrant Southeast,Rainforest on rotting log,0 - 50 m.,N/A,C2077575F,Typed,no type status,,
Entry 154,0194_C2077576F_collage.png,"J. C. Lindeman, A. L. A. Görts-van Rijn, M. J. Jansen-Jacobs & A. M. C. Hetterscheid-Hollants",J. C. Lindeman,A. L. A. Görts-van Rijn | M. J. Jansen-Jacobs | A. M. C. Hetterscheid-Hollants,243 A,3-IX-1980,1980-09-03,N/A,Pilosium chlorophyllum (Hornsch.) C. Müll.,Pilosium chlorophyllum,H. R. Zielman,N/A,N/A,Suriname,Nickerie,N/A,N/A,"Area of Kabalebo Dam project, distr. Nickerie, Forest S of km 28.7","Area of Kabalebo Dam project, Forest South of kilometer 28.7",Epiphyte on tree trunk,Alt.: 30 - 130 m.,"5°09' N, 57°30'58"" W.",C2077576F,Typed,no type status,,
Entry 155,0195_C2077577F_collage.png,J. Florschütz-de Waard and R. Zielman,J. Florschütz-de Waard,R. Zielman,5141,31 October 1981,1981-10-31,N/A,Pilosium chlorophyllum (Hornsch.) C. Müll.,Pilosium chlorophyllum,R. Zielman,N/A,Astrocaryum,Suriname,Nickerie,N/A,N/A,"Distr. Nickerie, Kabalebo river area, line W. from road km 34, 5°N., 58°W.","Kabalebo river area, line W. from road kilometer 34",On decaying log in marsh forest with Astrocaryum,0-50 m,"5°N., 58°W.",G207757F,Typed,no type status,,
Entry 156,0196_C2077578F_collage.png,J. and P.A. Florschütz,J. Florschütz,P. A. Florschütz,4690,18 December 1975,1975-12-18,N/A,Pilosium chlorophyllum (Hornsch.) C. Muell.,Pilosium chlorophyllum,R. Zielman | J. Florschütz-de Waard,N/A,N/A,Suriname,N/A,N/A,N/A,"Brownsberg, trail to Leo Val","Brownsberg, trail to Leo Val",On rotting log in rainforest,alt. ca. 500 m,N/A,C2077578F,Typed,no type status,,
Entry 157,0197_C2077579F_collage.png,H. Cornelissen & S. R. Gradstein C076,H. Cornelissen,S. R. Gradstein,C076,8 March 1977,1977-03-08,N/A,Pilosium chlorophyllum (Hornsch.) C. Müll.,Pilosium chlorophyllum,J. Florschütz-de Waard,N/A,N/A,Guyana,N/A,N/A,N/A,"GUYANA. Mabura Hill, 180 km S of Georgetown, 5°20'N 58°40'W","Mabura Hill, 180 kilometers South of Georgetown",On rotting tree base in mixed rain forest,alt. 0-50 m,5°20'N 58°40'W,C0207759F,Typed,no type status,,
Entry 158,0198_C2077580F_collage.png,R. Spruce,R. Spruce,N/A,524,N/A,0000-00-00,N/A,Sturochylum chlorophyllum Hornsch.,Pilosium chlorophyllum,W. Mitten,N/A,N/A,Brazil,Para,N/A,N/A,Fl. Amazon prope Para,[precise locality unknown],N/A,N/A,N/A,C0277580F | 1078188,Mix of Handwritten and Typed,no type status,,
Entry 159,0199_C2077581F_collage.png,Richard Evans Schultes and Isidoro Cabrera,R. E. Schultes,I. Cabrera,7922,"Oct. 22, 1952",1952-10-22,N/A,Pilosium chlorophyllum (Hornsch.) Jaeg.,Pilosium chlorophyllum,H. A. Crum,1956,N/A,Colombia,Vaupés,N/A,N/A,Río Vaupés: Mitú and vicinity,Cerro Mitú,On rotten log,N/A,"Lat. 1° 0' N, Long. 70° 6' W",C0207581F,Typed,no type status,,
Entry 160,0200_C2077582F_collage.png,Richard Evans Schultes et Isidoro Cabrera,R. E. Schultes,I. Cabrera,14294,"October 4-6, 1951",1951-10-04,1951-10-06,Pilosius chlorophyllum (Hornsch.) C. M.,Pilosius chlorophyllum,H. A. Crum,1956,N/A,Colombia,Vaupés,N/A,N/A,"Rio Kuduyari (affluent of Rio Vaupés), Yapobodá, quartzite savannah","Rio Kuduyari, Yapobodá",On rotten logs,N/A,N/A,C00775692F,Typed,no type status,,
Entry 161,0201_C2077583F_collage.png,RICHARD EVANS SCHULTES,R. E. Schultes,N/A,12309,June 1951,1951-06-00,N/A,PILOSIUM CHLOROPHYLLUM (HORNSCH.) C. M. IN BROTH.,Pilosium chlorophyllum,D. Griffin III,N/A,N/A,Colombia,Vaupés,N/A,N/A,Rio Apaporis. Soratama,Rio Apaporis. Soratama,On trunks,N/A,N/A,N/A,Typed,no type status,,
Entry 162,0202_C2077584F_collage.png,,,,,,,,,,,,,,,,,,,,,,,,,,
Entry 163,0203_C2077585F_collage.png,Ynes Mexia,Y. Mexia,N/A,6014a,"Aug. 31, 1931",1931-08-31,N/A,Filosum chlorophyllum (Hsch.) C. M.,Filosum chlorophyllum,N/A,N/A,N/A,Brazil,Pará,Acará,N/A,Thomé Assú; down Rio Acará 3 km.,Thomé Assú; down Rio Acará 3 kilometers,On fallen log,Alt. 35 m.,N/A,C027586F,Typed,no type status,,
Entry 164,0204_C2077586F_collage.png,Ynes Mexia,Y. Mexia,N/A,5914,"July 16, 1931",1931-07-16,N/A,Pilosiun Chlorophyllosum (Hsch.) C. M.,Pilosiun Chlorophyllosum,N/A,N/A,N/A,Brazil,Pará,Acará,N/A,Thomé Assu. Japanese Colony.,Thomé Assu. Japanese Colony.,On rotting log in woods. Abundant.,Alt. about 30 m.,N/A,870829,Typed,no type status,,
Entry 165,0205_C2078862F_collage.png,"leg. Dana Griffin, III Manuel López F.",D. Griffin,M. López,PV-1525,14 marzo 1985,1985-03-14,N/A,Brachythecium plumosum (Hedw.) BSG,Brachythecium plumosum,D. Griffin,N/A,Expeweletia schultzii,Venezuela,Trujillo,N/A,N/A,"páramo de Guirigay, arriba del pueblo de Las Piedras. Entre el río Buey y Penas Blancas","páramo de Guirigay, arriba del pueblo de Las Piedras. Entre el río Buey y Penas Blancas","Sobre roca húmeda, lecho de riachuelo, a sol",3300 m,N/A,C02078862F,Typed,no type status,,
Entry 166,0206_C2078913F_collage.png,P. Dusén,P. Dusén,N/A,5872,22 February 1897,1897-02-22,N/A,Brachythecium albicans (Hedw.) Schimp.,Brachythecium albicans,W. R. Buck,N/A,N/A,Chile,N/A,N/A,N/A,"Patagonia occident., Cerra Colorado",Cerra Colorado,N/A,N/A,N/A,B11749,Typed,no type status,,
Entry 167,0207_C2078924F_collage.png,Ynes Mexia,Y. Mexia,N/A,8001,"April 10, 1936",1936-04-10,N/A,Brachythecium sublosum (H. f. & W. Jlaeg.),Brachythecium austro-glareosum,Bartram,N/A,Nothofagus,Chile,Magallanes,N/A,N/A,Last Hope Inlet; Peninsula Antonio Varas,Last Hope Inlet; Peninsula Antonio Varas,Openings in Nothofagus wood in moist earth. Common; scattered in small turfs.,Alt. 25 m.,N/A,1036758 | C2073924F,Typed,no type status,,
Entry 168,0208_C2078925F_collage.png,Marko Lewis,M. Lewis,N/A,79-2108,25 May 1979,1979-05-25,N/A,Brachythecium calliergonioides Broth. in Herz.,Brachythecium calliergonioides,R. Ochyra,1982,N/A,Bolivia,Oruro,Sajama,N/A,Río Junthuma Khuchu 2 mi. down river from Aguas termales de Río Junthuma Khuchu,Río Junthuma Khuchu 2 miles down river from Aguas termales de Río Junthuma Khuchu,In warmish creek,4350 m,18° 07' S. 69° 00' W.,C2078925F,Typed,no type status,,
Entry 169,0209_C2078926F_collage.png,Marko Lewis,M. Lewis,N/A,79-2109,25 May 1979,1979-05-25,N/A,Brachythecium calliergonioides Broth. in Herz.,Brachythecium calliergonioides,R. Ochyra,1982,N/A,Bolivia,Oruro,Sajama,N/A,"Rio Junthuma Khuchu, 2 mi. down river from Aguas termales de Rio Junthuma Khuchu","Rio Junthuma Khuchu, 2 miles down river from Aguas termales de Rio Junthuma Khuchu",In warmish creek,4350 m,"18° 07' S, 69° 00' W",C2078926F,Typed,no type status,,
Entry 170,0210_C2078927F_collage.png,Marko Lewis,M. Lewis,N/A,79-2112,25 May 1979,1979-05-25,N/A,Brachythecium calliergonioides Broth. in Herz.,Brachythecium calliergonioides,R. Ochyra,1982,N/A,Bolivia,Oruro,Sajama,N/A,"Río Junthuma Khuchu, 2 mi. down river from Aguas termales de Río Junthuma Khuchu","Río Junthuma Khuchu, 2 miles down river from Aguas termales de Río Junthuma Khuchu",In warmish creek,4350 m,"18° 07' S, 69° 00' W",C2078927F,Typed,no type status,,
Entry 171,0211_C2078928F_collage.png,Marko Lewis,M. Lewis,N/A,79-2115,25 May 1979,1979-05-25,N/A,Brachythecium calliergonioides Broth. in Herz.,Brachythecium calliergonioides,R. Ochyra,1982,N/A,Bolivia,Oruro,Sajama,N/A,"Río Junthuma Khuchu, 2 mi. down river from Aguas termales de Río Junthuma Khuchu","Río Junthuma Khuchu, 2 miles down river from Aguas termales de Río Junthuma Khuchu",In warmish creek,4350 m,"18° 07' S, 69° 00' W",C2078928F,Typed,no type status,,
Entry 172,0212_C2078929F_collage.png,Marko Lewis,M. Lewis,N/A,79-2117,25 May 1979,1979-05-25,N/A,Brachythecium calliergonioides Broth. in Herz.,Brachythecium calliergonioides,R. Ochyra,1982,N/A,Bolivia,Oruro,Sajama,N/A,"Río Junthuma Khuchu, 2 mi. down river from Aguas termales de Río Junthuma Khuchu","Río Junthuma Khuchu, 2 miles down river from Aguas termales de Río Junthuma Khuchu",In warmish creek,4350 m,"18° 07' S., 69° 00' W.",C02078629F,Typed,no type status,,
Entry 173,0213_C2078930F_collage.png,Marko Lewis,M. Lewis,N/A,79-2118,25 May 1979,1979-05-25,N/A,Brachythecium calliergonioides Broth. in Herz.,Brachythecium calliergonioides,R. Ochyra,1982,N/A,Bolivia,Oruro,Sajama,N/A,"Rio Junthuma Khuchu, 2 mi. down river from Aguas termales de Rio Junthuma Khuchu","Rio Junthuma Khuchu, 2 miles down river from Aguas termales de Rio Junthuma Khuchu",In warmish creek,4350 m,"18° 07' S, 69° 00' W",C0207830F,Typed,no type status,,
Entry 174,0214_C2078931F_collage.png,Marko Lewis,M. Lewis,N/A,79-2107,25 May 1979,1979-05-25,N/A,Brachythecium calliergonioides Broth. in Herz.,Brachythecium calliergonioides,R. Ochyra,1982,N/A,Bolivia,Oruro,Sajama,N/A,"Río Junthuma Khuchu, 2 mi. down river from Aguas termales de Río Junthuma Khuchu","Río Junthuma Khuchu, 2 miles down river from Aguas termales de Río Junthuma Khuchu",In warmish creek,4350 m.,"18° 07' S., 69° 00' W.",C2078931F | C2078931F,Typed,no type status,,
Entry 175,0215_C2078932F_collage.png,Marko Lewis,M. Lewis,N/A,79-2119,25 May 1979,1979-05-25,N/A,Brachythecium calliergonioides Broth. in Herz.,Brachythecium calliergonioides,R. Ochyra,1982,N/A,Bolivia,Oruro,Sajama,N/A,"Rio Junthuma Khuchu, 2 mi. down river from Aguas termales de Rio Junthuma Khuchu","Rio Junthuma Khuchu, 2 miles down river from Aguas termales de Rio Junthuma Khuchu",In warmish creek,4350 m,"18° 07' S., 69° 00' W.",C2078932F,Typed,no type status,,
Entry 176,0216_C2079350F_collage.png,Ynes Mexia,Y. Mexia,N/A,6149,"Nov. 23, 1931",1931-11-23,N/A,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola,N. Bartram,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche Left bank of Rio Santiago,Above Pongo de Manseriche Left bank of Rio Santiago,On stone in overflow forest,Alt. 200 m.,N/A,873368,Typed,no type status,,
Entry 177,0217_C2079351F_collage.png,Yves Mexia,Y. Mexia,N/A,6160-a,"Nov. 25, 1931",1931-11-25,N/A,Vesicularia amphibola (Spr.) Broth.,Vesicularia amphibola,M. Bartram,N/A,N/A,Peru,Loreto,N/A,N/A,Above Pongo de Manseriche Right bank of Rio Santiago,Above Pongo de Manseriche Right bank of Rio Santiago,Dense forest on log,Alt. 200 m.,N/A,873367 | C2070351F,Typed,no type status,,
